RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,SALARY,NUMYEARS,FIRSTYEAR,LASTYEAR,TOTALVALUE,AVGANNUAL
1," Castro, S",MIA,2B,162,636,68,172,31,4,22,86,28,111,2,2,0.27,0.3,0.436,0.736,12000000,7,2013,2019,60000000,8571429
1," Merrifield, W",KC,2B,162,681,105,206,41,10,16,74,45,126,20,10,0.302,0.348,0.463,0.811,1187500,4,2019,2022,16250000,4062500
1," Semien, M",OAK,SS,162,657,123,187,43,7,33,92,87,102,10,8,0.285,0.369,0.522,0.892,5900000,1,2019,2019,5900000,5900000
1," Soler, J",KC,RF,162,589,95,156,33,1,48,117,73,178,3,1,0.265,0.354,0.569,0.922,4666666,9,2012,2020,30000000,3333333
1," Villar, J",BAL,2B,162,642,111,176,33,5,24,73,61,176,40,9,0.274,0.339,0.453,0.792,4825000,1,2019,2019,4825000,4825000
6," Alonso, P",NYM,1B,161,597,103,155,30,2,53,120,72,183,1,0,0.26,0.358,0.583,0.941,555000,1,2019,2019,555000,555000
6," Goldschmidt, P",STL,1B,161,597,97,155,25,1,34,97,78,166,3,1,0.26,0.346,0.476,0.821,15000000,1,2019,2019,15000000,15000000
6," Hernandez, C",PHI,2B,161,612,77,171,31,3,14,71,45,100,9,2,0.279,0.333,0.408,0.741,7750000,1,2019,2019,7750000,7750000
6," Pillar, K",SF,CF,161,611,83,158,37,3,21,88,18,89,14,5,0.259,0.287,0.432,0.719,5800000,1,2019,2019,5800000,5800000
10," Albies, O",ATL,2B,160,640,102,189,43,8,24,86,54,112,15,4,0.295,0.352,0.5,0.852,575000,1,2019,2019,575000,575000
10," Hoskins, R",PHI,1B,160,570,86,129,33,5,29,85,116,173,2,2,0.226,0.364,0.454,0.819,575000,1,2019,2019,575000,575000
10," Hosmer, E",SD,1B,160,619,72,164,29,2,22,99,40,163,0,3,0.265,0.31,0.425,0.735,21625000,8,2018,2025,144000000,18000000
13," Abreu, J",CWS,1B,159,634,85,180,38,1,33,123,36,152,2,2,0.284,0.33,0.503,0.834,16000000,1,2019,2019,16000000,16000000
13," DeJong, P",STL,SS,159,583,97,136,31,1,30,78,62,149,9,5,0.233,0.318,0.444,0.762,2000000,6,2018,2023,26000000,4333333
13," Suarez, E",CIN,3B,159,575,87,156,22,2,49,103,70,189,3,2,0.271,0.358,0.572,0.93,7285714,7,2018,2024,66000000,9428571
16," Ahmed, N",ARI,SS,158,556,79,141,33,6,19,82,52,113,8,2,0.254,0.316,0.437,0.753,3662500,1,2019,2019,3662500,3662500
16," Escobar, E",ARI,3B,158,636,94,171,29,10,35,118,50,130,5,1,0.269,0.32,0.511,0.831,6166666,3,2019,2021,21000000,7000000
16," Freeman, F",ATL,1B,158,597,113,176,34,2,38,121,87,127,6,3,0.295,0.389,0.549,0.938,21359375,8,2014,2021,135000000,16875000
16," Santana, C",CLE,1B,158,573,110,161,30,1,34,93,108,108,4,0,0.281,0.397,0.515,0.911,20500000,3,2018,2020,60000000,20000000
20," Harper, B",PHI,RF,157,573,98,149,36,1,35,114,99,178,15,3,0.26,0.372,0.51,0.882,11538461,13,2019,2031,330000000,25384615
20," Rosario, A",NYM,SS,157,616,75,177,30,7,15,72,31,124,19,10,0.287,0.323,0.432,0.755,575500,1,2019,2019,575500,575500
22," Acuna Jr., R",ATL,LF,156,626,127,175,22,2,41,101,76,188,37,9,0.28,0.365,0.518,0.883,560000,1,2019,2019,560000,560000
22," Bellinger, C",LAD,RF,156,558,121,170,34,3,47,115,95,108,15,5,0.305,0.406,0.629,1.035,605000,1,2019,2019,605000,605000
22," Belt, B",SF,1B,156,526,76,123,32,3,17,57,83,127,4,3,0.234,0.339,0.403,0.742,17200000,5,2017,2021,72800000,14560000
22," Bregman, A",HOU,3B,156,554,122,164,37,2,41,112,119,83,5,1,0.296,0.423,0.592,1.015,640500,1,2019,2019,640500,640500
22," Chapman, M",OAK,3B,156,583,102,145,36,3,36,91,73,147,1,1,0.249,0.342,0.506,0.848,580000,1,2019,2019,580000,580000
22," Devers, R",BOS,3B,156,647,129,201,54,4,32,115,48,119,8,8,0.311,0.361,0.555,0.916,614500,1,2019,2019,614500,614500
22," Machado, M",SD,SS,156,587,81,150,21,2,32,85,65,128,5,3,0.256,0.334,0.462,0.796,12000000,10,2019,2028,300000000,30000000
29," Arenado, N",COL,3B,155,588,102,185,31,2,41,118,62,93,3,2,0.315,0.379,0.583,0.962,26000000,1,2019,2019,26000000,26000000
29," Bogaerts, X",BOS,SS,155,614,110,190,52,0,33,117,76,122,4,2,0.309,0.384,0.555,0.939,12000000,1,2019,2019,12000000,12000000
29," Donaldson, J",ATL,3B,155,549,96,142,33,0,37,94,100,155,4,2,0.259,0.379,0.521,0.9,23000000,1,2019,2019,23000000,23000000
29," Myers, W",SD,LF,155,435,58,104,22,1,18,53,51,168,16,7,0.239,0.321,0.418,0.739,5666666,6,2017,2022,83000000,13833333
29," Robles, V",WSH,CF,155,546,86,139,33,3,17,65,35,140,28,9,0.255,0.326,0.419,0.745,557800,1,2019,2019,557800,557800
29," Schwarber, K",CHC,LF,155,529,82,132,29,3,38,92,70,156,2,3,0.25,0.339,0.531,0.871,3390000,1,2019,2019,3390000,3390000
35," Fletcher, D",LAA,3B,154,596,83,173,30,4,6,49,55,64,8,3,0.29,0.35,0.384,0.734,561500,1,2019,2019,561500,561500
35," Mancini, T",BAL,RF,154,602,106,175,38,2,35,97,63,143,1,0,0.291,0.364,0.535,0.899,575500,1,2019,2019,575500,575500
37," Grandal, Y",MIL,C,153,513,79,126,26,2,28,77,109,139,5,1,0.246,0.38,0.468,0.848,18250000,1,2019,2019,18250000,18250000
37," Polanco, J",MIN,SS,153,631,107,186,40,7,22,79,60,116,4,3,0.295,0.356,0.485,0.841,4158333,5,2019,2023,25750000,5150000
39," Adames, W",TB,SS,152,531,69,135,25,1,20,52,46,153,4,2,0.254,0.317,0.418,0.735,562400,1,2019,2019,562400,562400
39," Arcia, O",MIL,SS,152,494,51,110,16,1,15,59,43,109,8,5,0.223,0.283,0.35,0.633,565700,1,2019,2019,565700,565700
39," Calhoun, K",LAA,RF,152,552,92,128,29,1,33,74,70,162,4,1,0.232,0.325,0.467,0.792,10833333,3,2017,2019,26000000,8666667
39," Frazier, A",PIT,2B,152,554,80,154,33,7,10,50,40,75,5,5,0.278,0.336,0.417,0.753,584000,1,2019,2019,584000,584000
39," Walker, C",ARI,1B,152,529,86,137,26,1,29,73,67,155,8,1,0.259,0.348,0.476,0.825,559800,1,2019,2019,559800,559800
44," Castellanos, N",CHC,RF,151,615,100,178,58,3,27,73,41,143,2,2,0.289,0.337,0.525,0.863,9950000,1,2019,2019,9950000,9950000
44," Choo, S",TEX,LF,151,563,93,149,31,2,24,61,78,165,15,1,0.265,0.371,0.455,0.826,21000000,7,2014,2020,130000000,18571429
44," Conforto, M",NYM,RF,151,549,90,141,29,1,33,92,84,149,7,2,0.257,0.363,0.494,0.856,4025000,1,2019,2019,4025000,4025000
44," Eaton, A",WSH,RF,151,566,103,158,25,7,15,49,65,106,15,3,0.279,0.365,0.428,0.792,8700000,5,2015,2019,23500000,4700000
44," Grichuk, R",TOR,CF,151,586,75,136,29,5,31,80,35,163,2,1,0.232,0.28,0.457,0.738,5000000,1,2019,2019,5000000,5000000
44," Margot, M",SD,CF,151,398,59,93,19,3,12,37,38,88,20,4,0.234,0.304,0.387,0.691,577100,1,2019,2019,577100,577100
44," Nunez, R",BAL,3B,151,541,72,132,24,0,31,90,44,143,1,1,0.244,0.311,0.46,0.771,562000,1,2019,2019,562000,562000
51," Betts, M",BOS,RF,150,597,135,176,40,5,29,80,97,101,16,3,0.295,0.391,0.524,0.915,20000000,1,2019,2019,20000000,20000000
51," Fowler, D",STL,RF,150,487,69,116,24,1,19,67,74,142,8,5,0.238,0.346,0.409,0.754,16500000,5,2017,2021,82500000,16500000
51," Gordon, A",KC,LF,150,556,77,148,31,1,13,76,51,100,5,3,0.266,0.345,0.396,0.741,21000000,4,2016,2019,72000000,18000000
51," Reyes, F",CLE,RF,150,494,69,123,19,0,37,81,47,156,0,0,0.249,0.31,0.512,0.822,570500,1,2019,2019,570500,570500
51," Soto, J",WSH,LF,150,542,110,153,32,5,34,110,108,132,12,1,0.282,0.401,0.548,0.949,578300,1,2019,2019,578300,578300
56," Moran, C",PIT,3B,149,466,46,129,30,1,13,80,30,117,0,1,0.277,0.322,0.429,0.751,579500,1,2019,2019,579500,579500
56," Pederson, J",LAD,LF,149,450,83,112,16,3,36,74,50,111,1,1,0.249,0.339,0.538,0.876,5000000,1,2019,2019,5000000,5000000
56," Puig, Y",CLE,RF,149,555,76,148,30,2,24,84,44,133,19,7,0.267,0.327,0.458,0.785,9700000,1,2019,2019,9700000,9700000
56," Sanchez, Y",CWS,2B,149,496,59,125,20,4,2,43,44,117,5,4,0.252,0.318,0.321,0.638,4625000,1,2019,2019,4625000,4625000
56," Thames, E",MIL,1B,149,396,67,98,23,2,25,61,51,140,3,2,0.247,0.346,0.505,0.851,6333333,3,2017,2019,16000000,5333333
61," Brantley, M",HOU,LF,148,575,88,179,40,2,22,90,51,66,3,2,0.311,0.372,0.503,0.875,16000000,2,2019,2020,32000000,16000000
61," Cain, L",MIL,CF,148,562,75,146,30,0,11,48,50,106,18,8,0.26,0.325,0.372,0.697,15000000,5,2018,2022,80000000,16000000
61," Wong, K",STL,2B,148,478,61,136,25,4,11,59,47,83,24,4,0.285,0.361,0.423,0.784,6700000,5,2016,2020,25500000,5100000
64," Andrus, E",TEX,SS,147,600,81,165,27,4,12,72,34,96,31,8,0.275,0.313,0.393,0.707,15250000,8,2015,2022,120000000,15000000
64," Bradley Jr., J",BOS,CF,147,494,69,111,28,3,21,62,56,155,8,6,0.225,0.317,0.421,0.738,8550000,1,2019,2019,8550000,8550000
64," Bryant, K",CHC,3B,147,543,108,153,35,1,31,77,74,145,4,0,0.282,0.382,0.521,0.903,12900000,1,2019,2019,12900000,12900000
64," Crawford, B",SF,SS,147,500,58,114,24,2,11,59,53,117,3,2,0.228,0.304,0.35,0.654,15200000,6,2016,2021,75000000,12500000
64," Galvis, F",CIN,SS,147,557,67,145,28,1,23,70,28,145,4,2,0.26,0.296,0.438,0.734,5000000,1,2019,2019,5000000,5000000
64," Heyward, J",CHC,RF,147,513,78,129,20,4,21,62,68,110,8,3,0.251,0.343,0.429,0.772,20000000,8,2016,2023,184000000,23000000
70," Iglesias, J",CIN,SS,146,504,62,145,21,3,11,59,20,70,6,6,0.288,0.318,0.407,0.724,2500000,1,2019,2019,2500000,2500000
70," Martinez, J",BOS,LF,146,575,98,175,33,2,36,105,72,138,2,0,0.304,0.383,0.557,0.939,23750000,5,2018,2022,110000000,22000000
70," Rendon, A",WSH,3B,146,545,117,174,44,3,34,126,80,86,5,1,0.319,0.412,0.598,1.01,18800000,1,2019,2019,18800000,18800000
70," Rizzo, A",CHC,1B,146,512,89,150,29,3,27,94,71,86,5,2,0.293,0.405,0.52,0.924,12285714,7,2013,2019,41000000,5857143
74," LeMahieu, D",NYY,2B,145,602,109,197,33,2,26,102,46,90,5,2,0.327,0.375,0.518,0.893,12000000,2,2019,2020,24000000,12000000
74," Odor, R",TEX,2B,145,522,77,107,30,1,30,93,52,178,11,9,0.205,0.283,0.439,0.721,8333333,6,2017,2022,49500000,8250000
74," Pham, T",TB,LF,145,567,77,155,33,2,21,68,81,123,25,4,0.273,0.369,0.45,0.818,4100000,1,2019,2019,4100000,4100000
74," Realmuto, J",PHI,C,145,538,92,148,36,3,25,83,41,123,9,1,0.275,0.328,0.493,0.82,5900000,1,2019,2019,5900000,5900000
74," Story, T",COL,SS,145,588,111,173,38,5,35,85,58,174,23,8,0.294,0.363,0.554,0.917,5000000,1,2019,2019,5000000,5000000
79," Braun, R",MIL,LF,144,459,70,131,31,2,22,75,34,105,11,1,0.285,0.343,0.505,0.849,18158038,13,2008,2020,150000000,11538462
79," Gurriel, Y",HOU,1B,144,564,85,168,40,2,31,104,37,65,5,3,0.298,0.343,0.541,0.884,10000000,5,2016,2020,47500000,9500000
79," Marte, K",ARI,CF,144,569,97,187,36,9,32,92,53,86,10,2,0.329,0.389,0.592,0.981,2600000,5,2018,2022,24000000,4800000
79," Segura, J",PHI,SS,144,576,79,161,37,4,12,60,30,73,10,2,0.28,0.323,0.42,0.743,15050000,5,2018,2022,70000000,14000000
79," Torres, G",NYY,SS,144,546,96,152,26,0,38,90,48,129,5,2,0.278,0.337,0.535,0.871,605200,1,2019,2019,605200,605200
79," Vogelbach, D",SEA,1B,144,462,73,96,17,0,30,76,92,149,0,0,0.208,0.341,0.439,0.78,558600,1,2019,2019,558600,558600
85," Bell, J",PIT,1B,143,527,94,146,37,3,37,116,74,118,0,1,0.277,0.367,0.569,0.936,587000,1,2019,2019,587000,587000
85," Lindor, F",CLE,SS,143,598,101,170,40,2,32,74,46,98,22,5,0.284,0.335,0.518,0.854,10550000,1,2019,2019,10550000,10550000
85," Moustakas, M",MIL,2B,143,523,80,133,30,1,35,87,53,98,3,0,0.254,0.329,0.516,0.845,10000000,1,2019,2019,10000000,10000000
88," Panik, J",NYM,2B,142,438,50,107,21,2,5,39,43,47,4,2,0.244,0.315,0.336,0.651,3850000,1,2019,2019,3850000,3850000
88," Votto, J",CIN,1B,142,525,79,137,32,1,15,47,76,123,5,0,0.261,0.357,0.411,0.768,25000000,10,2014,2023,225000000,22500000
90," Gardner, B",NYY,CF,141,491,86,123,26,7,28,74,52,108,10,2,0.251,0.325,0.503,0.829,7500000,1,2019,2019,7500000,7500000
90," McMahon, R",COL,2B,141,480,70,120,22,1,24,83,56,160,5,1,0.25,0.329,0.45,0.779,560000,1,2019,2019,560000,560000
90," Muncy, M",LAD,1B,141,487,101,122,22,1,35,98,90,149,4,1,0.251,0.374,0.515,0.889,575000,1,2019,2019,575000,575000
90," Peraza, J",CIN,2B,141,376,37,90,18,2,6,33,17,58,7,6,0.239,0.285,0.346,0.631,2775000,1,2019,2019,2775000,2775000
90," Ramos, W",NYM,C,141,473,52,136,19,0,14,73,44,69,1,0,0.288,0.351,0.416,0.768,8000000,2,2019,2020,19000000,9500000
90," Reddick, J",HOU,RF,141,501,57,138,19,3,14,56,36,66,5,2,0.275,0.319,0.409,0.728,13000000,4,2017,2020,52000000,13000000
96," Blackmon, C",COL,RF,140,580,112,182,42,7,32,86,40,104,2,5,0.314,0.364,0.576,0.94,21516666,6,2018,2023,108000000,18000000
96," Davis, J",NYM,3B,140,410,65,126,22,1,22,57,38,97,3,0,0.307,0.369,0.527,0.895,561420,1,2019,2019,561420,561420
96," Desmond, I",COL,CF,140,443,64,113,31,4,20,65,34,119,3,3,0.255,0.31,0.479,0.788,15400000,5,2017,2021,70000000,14000000
96," Garcia, L",CWS,CF,140,577,93,161,27,3,8,40,21,139,15,5,0.279,0.31,0.378,0.688,1550000,1,2019,2019,1550000,1550000
96," Renfroe, H",SD,LF,140,440,64,95,19,1,33,64,46,154,5,0,0.216,0.289,0.489,0.778,582100,1,2019,2019,582100,582100
101," Alberto, H",BAL,2B,139,524,62,160,21,2,12,51,16,50,4,4,0.305,0.329,0.422,0.751,578000,1,2019,2019,578000,578000
101," Dozier, H",KC,3B,139,523,75,146,29,10,26,84,55,148,2,2,0.279,0.348,0.522,0.87,567225,1,2019,2019,567225,567225
101," Profar, J",OAK,2B,139,459,65,100,24,2,20,67,48,75,9,1,0.218,0.301,0.41,0.711,3600000,1,2019,2019,3600000,3600000
104," Baez, J",CHC,SS,138,531,89,149,38,4,29,85,28,156,11,7,0.281,0.316,0.531,0.847,5200000,1,2019,2019,5200000,5200000
104," Benintendi, A",BOS,LF,138,541,72,144,40,5,13,68,59,140,10,3,0.266,0.343,0.431,0.774,717500,1,2019,2019,717500,717500
104," Granderson, C",MIA,LF,138,317,44,58,17,1,12,34,41,98,0,3,0.183,0.281,0.356,0.637,1750000,1,2019,2019,1750000,1750000
104," Grossman, R",OAK,LF,138,420,57,101,21,3,6,38,59,86,9,4,0.24,0.334,0.348,0.682,2000000,1,2019,2019,2000000,2000000
104," Meadows, A",TB,RF,138,530,83,154,29,7,33,89,54,131,12,7,0.291,0.364,0.558,0.922,557400,1,2019,2019,557400,557400
104," Tapia, R",COL,LF,138,426,54,117,23,5,9,44,21,100,9,3,0.275,0.309,0.415,0.724,560000,1,2019,2019,560000,560000
104," Vazquez, C",BOS,C,138,482,66,133,26,1,23,72,33,101,4,2,0.276,0.32,0.477,0.798,2933333,3,2019,2021,13550000,4516667
111," Jones, A",ARI,RF,137,485,66,126,25,1,16,67,31,101,2,1,0.26,0.313,0.414,0.728,3000000,1,2019,2019,3000000,3000000
111," Rosario, E",MIN,LF,137,562,91,155,28,1,32,109,22,86,3,1,0.276,0.3,0.5,0.8,4190000,1,2019,2019,4190000,4190000
113," Cabrera, M",DET,1B,136,493,41,139,21,0,12,59,48,108,0,0,0.282,0.346,0.398,0.744,30000000,10,2014,2023,292000000,29200000
113," Goodwin, B",LAA,LF,136,413,65,108,29,3,17,47,38,129,7,3,0.262,0.326,0.47,0.796,583500,1,2019,2019,583500,583500
115," Dozier, B",WSH,2B,135,416,54,99,20,0,20,50,61,105,3,4,0.238,0.34,0.43,0.771,9000000,1,2019,2019,9000000,9000000
115," Turner, J",LAD,3B,135,479,80,139,24,0,27,67,51,88,2,0,0.29,0.372,0.509,0.881,19000000,4,2017,2020,64000000,16000000
117," Gamel, B",MIL,LF,134,311,47,77,18,0,7,33,40,104,2,2,0.248,0.337,0.373,0.71,567700,1,2019,2019,567700,567700
117," Garcia, G",SD,2B,134,311,52,77,13,4,4,31,53,83,0,2,0.248,0.364,0.354,0.718,910000,1,2019,2019,910000,910000
117," Kepler, M",MIN,RF,134,524,98,132,32,0,36,90,60,99,1,5,0.252,0.336,0.519,0.855,6200000,5,2019,2023,35000000,7000000
117," Reynolds, B",PIT,LF,134,491,83,154,37,4,16,68,46,121,3,2,0.314,0.377,0.503,0.88,583500,1,2019,2019,583500,583500
117," Seager, C",LAD,SS,134,489,82,133,44,1,19,87,44,98,1,0,0.272,0.335,0.483,0.817,4000000,1,2019,2019,4000000,4000000
117," Smith, M",SEA,CF,134,510,70,116,19,9,6,37,42,141,46,9,0.227,0.3,0.335,0.635,578400,1,2019,2019,578400,578400
117," Trout, M",LAA,CF,134,470,110,137,27,2,45,104,110,120,11,2,0.291,0.438,0.645,1.083,34083333,6,2015,2020,144500000,24083333
