State,Year,Enroll,Total-Revenue,fed,state-REV,local,TOTAL_EXPENDITURE
CALIFORNIA,1992,,26260025,2072470,16546514,7641041,27138832
CALIFORNIA,1993,5129788,28043338,2151157,17064146,8828035,28110986
CALIFORNIA,1994,4120498,23440845,2095878,13175550,8169417,23012688
CALIFORNIA,1995,5299405,29512214,2612241,15541486,11358487,30097549
CALIFORNIA,1996,5460484,31282981,2603882,17061474,11617625,31561692
CALIFORNIA,1997,5595836,35614934,2850766,20560730,12203438,33862281
CALIFORNIA,1998,5727224,39183018,3149260,22840500,13193258,38087666
CALIFORNIA,1999,5839207,41393435,3599923,23695095,14098417,40834643
CALIFORNIA,2000,5941946,46628207,4024940,26877920,15725347,45829753
CALIFORNIA,2001,6045030,53288943,4280358,31374889,17633696,52082540
CALIFORNIA,2009,6234155,73958896,9745250,40084244,24129402,74766086
CALIFORNIA,2011,6202604,70953331,9990221,37752712,23210398,69847705
CALIFORNIA,2014,6224685,72389126,7415061,38410554,26563511,72506810
CALIFORNIA,2013,6208733,68868516,7836263,35141208,25891045,69727119
CALIFORNIA,2012,6203034,69016392,8793325,36413273,23809794,70191877
CALIFORNIA,2010,6213958,67356719,9715980,34173911,23466828,71227111
CALIFORNIA,2002,6136915,54727056,5084409,31005317,18637330,56464225
CALIFORNIA,2008,6258421,74626928,7227456,43187637,24211835,76618865
CALIFORNIA,2007,6288686,72516936,7200298,42333637,22983001,73225422
CALIFORNIA,2003,6226552,59815855,5795655,33617766,20402434,59749885
CALIFORNIA,2005,6307022,62171797,7148863,34912166,20110768,66196072
CALIFORNIA,2004,6284502,60162326,6634068,31756690,21771568,62647953
CALIFORNIA,2006,6295994,66302860,7421482,37439651,21441727,68722432